,ottomaass-230-9__mcgill-standard__otto-mass-119-230,ottomaass-230-16__mcgill-standard__otto-mass-119-230,ottomaass-230-13__mcgill-standard__otto-mass-119-230,ottomaass-230-8__mcgill-standard__otto-mass-119-230,ottomaass-230-16__mcgill-standard__otto-mass-119-230,ottomaass-230-4__mcgill-standard__otto-mass-119-230,ottomaass-230-18__mcgill-standard__otto-mass-119-230,ottomaass-230-13__mcgill-standard__otto-mass-119-230,ottomaass-230-2__mcgill-standard__otto-mass-119-230,ottomaass-230-9__mcgill-standard__otto-mass-119-230,ottomaass-230-2__mcgill-standard__otto-mass-119-230,ottomaass-230-9__mcgill-standard__otto-mass-119-230,ottomaass-230-16__mcgill-standard__otto-mass-119-230,ottomaass-230-16__mcgill-standard__otto-mass-119-230,ottomaass-230-9__mcgill-standard__otto-mass-119-230
2013-10-26 05:00:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-26 05:30:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-26 06:00:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-26 06:30:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-26 07:00:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-26 07:30:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-26 08:00:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-26 08:30:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-26 09:00:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-26 09:30:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-26 10:00:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-26 10:30:00-05:00,200.0,200.0,200.0,237.62500000000006,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-26 11:00:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-26 11:30:00-05:00,200.0,200.0,200.0,237.62500000000006,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-26 12:00:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-26 12:30:00-05:00,200.0,200.0,200.0,237.3437375,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-26 13:00:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-26 13:30:00-05:00,200.0,200.0,200.0,237.57812291666673,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-26 14:00:00-05:00,200.0,200.0,200.0,237.62500000000006,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-26 14:30:00-05:00,200.0,220.02082708333336,200.0,237.5312458333334,220.02082708333336,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,220.02082708333336,200.0
2013-10-26 15:00:00-05:00,200.0,200.0,200.0,237.62500000000006,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-26 15:30:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-26 16:00:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-26 16:30:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-26 17:00:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-26 17:30:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-26 18:00:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-26 18:30:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-26 19:00:00-05:00,200.0,200.0,200.0,200.0,200.0,200.0,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-26 19:30:00-05:00,200.0,200.0,212.68125000000003,200.0,200.0,200.0,,212.68125000000003,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-26 20:00:00-05:00,200.0,200.0,212.68125000000003,200.0,200.0,200.0,,212.68125000000003,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-26 20:30:00-05:00,200.0,200.0,212.68125000000003,200.0,200.0,200.0,,212.68125000000003,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-26 21:00:00-05:00,200.0,200.0,212.68125000000003,200.0,200.0,200.0,,212.68125000000003,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-26 21:30:00-05:00,200.0,200.0,212.68125000000003,200.0,200.0,200.0,,212.68125000000003,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-26 22:00:00-05:00,200.0,200.0,212.68125000000003,200.0,200.0,200.0,,212.68125000000003,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-26 22:30:00-05:00,200.0,200.0,212.68125000000003,200.0,200.0,200.0,,212.68125000000003,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-26 23:00:00-05:00,200.0,200.0,212.68125000000003,200.0,200.0,200.0,,212.68125000000003,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-26 23:30:00-05:00,200.0,200.0,212.68125000000003,200.0,200.0,200.0,,212.68125000000003,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-27 00:00:00-05:00,200.0,200.0,212.68125000000003,200.0,200.0,200.0,,212.68125000000003,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-27 00:30:00-05:00,200.0,200.0,212.68125000000003,200.0,200.0,200.0,,212.68125000000003,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-27 01:00:00-05:00,200.0,200.0,212.68125000000003,200.0,200.0,200.0,,212.68125000000003,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-27 01:30:00-05:00,200.0,200.0,212.68125000000003,200.0,200.0,200.0,,212.68125000000003,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-27 02:00:00-05:00,200.0,200.0,212.68125000000003,200.0,200.0,200.0,,212.68125000000003,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-27 02:30:00-05:00,200.0,200.0,212.68125000000003,200.0,200.0,200.0,,212.68125000000003,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-27 03:00:00-05:00,200.0,200.0,212.68125000000003,200.0,200.0,200.0,,212.68125000000003,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-27 03:30:00-05:00,200.0,200.0,212.68125000000003,200.0,200.0,200.0,,212.68125000000003,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-27 04:00:00-05:00,200.0,200.0,212.68125000000003,200.0,200.0,200.0,,212.68125000000003,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-27 04:30:00-05:00,200.0,200.0,212.68125000000003,200.0,200.0,200.0,,212.68125000000003,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-27 05:00:00-05:00,200.0,200.0,212.68125000000003,200.0,200.0,200.0,,212.68125000000003,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-27 05:30:00-05:00,200.0,200.0,212.68125000000003,200.0,200.0,200.0,,212.68125000000003,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-27 06:00:00-05:00,200.0,200.0,212.68125000000003,200.0,200.0,200.0,,212.68125000000003,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-27 06:30:00-05:00,200.0,200.0,212.68125000000003,200.0,200.0,200.0,,212.68125000000003,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-27 07:00:00-05:00,200.0,200.0,212.68125000000003,200.0,200.0,200.0,,212.68125000000003,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-27 07:30:00-05:00,200.0,200.0,212.68125000000003,200.0,200.0,200.0,,212.68125000000003,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-27 08:00:00-05:00,200.0,200.0,212.68125000000003,200.0,200.0,200.0,,212.68125000000003,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-27 08:30:00-05:00,200.0,200.0,212.68125000000003,200.0,200.0,200.0,,212.68125000000003,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-27 09:00:00-05:00,200.0,200.0,212.68125000000003,200.0,200.0,200.0,,212.68125000000003,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-27 09:30:00-05:00,200.0,200.0,212.68125000000003,200.0,200.0,200.0,,212.68125000000003,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-27 10:00:00-05:00,200.0,200.0,354.46875000000006,200.0,200.0,200.0,,212.68125000000003,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-27 10:30:00-05:00,200.0,200.0,212.68125000000003,200.0,200.0,200.0,,354.46875000000006,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-27 11:00:00-05:00,200.0,200.0,212.68125000000003,237.62500000000006,200.0,200.0,,354.46875000000006,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-27 11:30:00-05:00,200.0,200.0,212.68125000000003,237.62500000000006,200.0,200.0,,212.68125000000003,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2013-10-27 12:00:00-05:00,200.0,200.0,212.68125000000003,200.0,200.0,200.0,,354.46875000000006,200.0,200.0,200.0,200.0,200.0,200.0,200.0
